professional_roles.name;created_at;salary.from;salary.to;employer.name;experience.name
BI-аналитик, аналитик данных;2023-09-29T18:54:51+0300;;;ФосАгро;От 3 до 6 лет
Аналитик;2023-09-29T17:13:29+0300;;;СтандартПроект;От 1 года до 3 лет
Дата-сайентист;2023-09-29T14:02:16+0300;;;Банк ДОМ.РФ;От 3 до 6 лет
Дата-сайентист;2023-09-28T20:10:02+0300;;470000.0;Rubbles;Более 6 лет
Аналитик;2023-09-27T17:15:52+0300;;;СБЕР;От 1 года до 3 лет
Дата-сайентист;2023-09-27T16:40:38+0300;;;Tennisi;От 3 до 6 лет
Дата-сайентист;2023-09-30T10:56:58+0300;;;АлгоМост;От 1 года до 3 лет
Дата-сайентист;2023-09-27T13:47:22+0300;;;АльфаСтрахование;От 1 года до 3 лет
Аналитик;2023-09-30T15:37:47+0300;;;СБЕР;От 1 года до 3 лет
Дата-сайентист;2023-09-28T11:53:52+0300;;;Samokat.tech;От 3 до 6 лет
Другое;2023-09-28T12:08:36+0300;;;РСХБ-Интех;Более 6 лет
Дата-сайентист;2023-09-28T09:56:50+0300;;;СБЕР;Нет опыта
Другое;2023-09-28T10:23:42+0300;;;Газпромбанк;От 1 года до 3 лет
Программист, разработчик;2023-09-30T13:43:00+0300;;;билайн;От 1 года до 3 лет
Программист, разработчик;2023-09-28T20:10:10+0300;;450000.0;Rubbles;От 3 до 6 лет
BI-аналитик, аналитик данных;2023-09-30T10:48:57+0300;;;РОСБАНК;От 3 до 6 лет
Аналитик;2023-09-28T15:57:03+0300;;;СБЕР;От 3 до 6 лет
Дата-сайентист;2023-09-26T11:52:34+0300;;;Finstar Financial Group;От 1 года до 3 лет
Дата-сайентист;2023-09-28T14:18:12+0300;;;СберМаркет;От 3 до 6 лет
Дата-сайентист;2023-09-26T10:38:12+0300;;;Ростелеком;От 1 года до 3 лет
Дата-сайентист;2023-09-27T13:05:39+0300;;;Банк ДОМ.РФ;От 3 до 6 лет
Дата-сайентист;2023-09-27T10:54:54+0300;;;Транснефть-Технологии;От 3 до 6 лет
Аналитик;2023-09-28T19:47:57+0300;;;NF Group;От 1 года до 3 лет
Дата-сайентист;2023-09-28T18:15:41+0300;;;Lamoda Tech;От 3 до 6 лет
Дата-сайентист;2023-09-25T17:20:45+0300;;;SENSE group;От 1 года до 3 лет
Программист, разработчик;2023-09-28T10:16:25+0300;;;Группа НЛМК;От 1 года до 3 лет
Дата-сайентист;2023-09-30T10:58:38+0300;;;Группа Самолет;От 1 года до 3 лет
Дата-сайентист;2023-09-26T18:02:21+0300;;;Банк ДОМ.РФ;От 1 года до 3 лет
Дата-сайентист;2023-09-27T13:01:10+0300;;;СберМаркет;От 1 года до 3 лет
Дата-сайентист;2023-09-27T12:10:55+0300;;;Детский Мир;От 3 до 6 лет
BI-аналитик, аналитик данных;2023-09-29T12:54:23+0300;;;НИИ Восход;От 3 до 6 лет
Дата-сайентист;2023-09-28T20:09:48+0300;;400000.0;Rubbles;От 3 до 6 лет
Программист, разработчик;2023-09-29T09:56:42+0300;;;Иннотех, Группа компаний;От 1 года до 3 лет
Дата-сайентист;2023-09-25T14:24:53+0300;;;Yakov & Partners;От 3 до 6 лет
Аналитик;2023-09-26T14:31:11+0300;350000.0;;HeadHunter;От 3 до 6 лет
Дата-сайентист;2023-09-25T14:09:13+0300;;;Лаборатория Касперского;От 1 года до 3 лет
Программист, разработчик;2023-09-26T11:23:22+0300;;;WILDBERRIES;От 3 до 6 лет
Аналитик;2023-09-22T21:33:57+0300;;200000.0;OKKAM;От 1 года до 3 лет
Программист, разработчик;2023-09-24T16:17:09+0300;;;СБЕР;От 1 года до 3 лет
Аналитик;2023-09-24T17:51:31+0300;;;СБЕР;Более 6 лет
Дата-сайентист;2023-09-28T11:42:22+0300;;;Рамакс Интернейшнл;От 1 года до 3 лет
Программист, разработчик;2023-09-27T18:21:45+0300;;;МАГНИТ, Розничная сеть;От 3 до 6 лет
Аналитик;2023-09-22T13:22:04+0300;;;ЛУКОЙЛ;От 1 года до 3 лет
Аналитик;2023-09-25T17:51:25+0300;;;СБЕР;От 3 до 6 лет
Дата-сайентист;2023-09-25T11:42:36+0300;;;РОСБАНК;От 3 до 6 лет
Дата-сайентист;2023-09-27T09:09:42+0300;;;ЕСН;От 3 до 6 лет
Другое;2023-09-21T21:04:50+0300;;;JetLend;От 1 года до 3 лет
Дата-сайентист;2023-09-21T14:31:45+0300;;;Банк ДОМ.РФ;От 3 до 6 лет
Дата-сайентист;2023-09-25T22:04:46+0300;;;Банк Русский Стандарт;От 1 года до 3 лет
Дата-сайентист;2023-09-25T23:06:53+0300;;;РТ Лабс;От 3 до 6 лет
Дата-сайентист;2023-09-25T12:44:58+0300;;;Samokat.tech;От 3 до 6 лет
Программист, разработчик;2023-09-26T14:31:20+0300;;;HeadHunter;От 3 до 6 лет
BI-аналитик, аналитик данных;2023-09-20T11:39:30+0300;;;Whoosh (ООО Вуш);От 1 года до 3 лет
Дата-сайентист;2023-09-22T17:13:51+0300;;;Спортмастер;От 1 года до 3 лет
Дата-сайентист;2023-09-27T13:50:43+0300;;;Марс;От 3 до 6 лет
Другое;2023-09-22T08:32:07+0300;;;СБЕР;От 3 до 6 лет
