name,id,u,v,length
Boulevard Rainier III,4229325,8733465480,25197955,3.994
Boulevard Rainier III,4229325,25197955,8733465479,3.975
Boulevard Rainier III,4229325,8733465479,1079750712,5.146
Boulevard Rainier III,4229325,1079750712,25197962,36.433
,4229326,25198656,8733465493,8.861
,4229326,8733465493,25238669,7.948
,4229327,25238772,10665475089,4.366
,4229327,10665475089,25238776,5.189
,4229327,25238776,25238781,7.099
,4229327,25238781,25197962,5.559
,4229328,25198559,25238728,20.521
Pont Sainte-Dévote,4229329,25238712,25238738,12.99
Pont Sainte-Dévote,4229329,25238738,1870233795,9.129
Pont Sainte-Dévote,4229329,1870233795,25238744,3.424
Pont Sainte-Dévote,4229329,25238744,8733488634,3.822
Pont Sainte-Dévote,4229329,8733488634,25197985,5.657
Boulevard Louis II,4229536,6485591925,1736929660,55.388
Boulevard Louis II,4229536,1736929660,9416148858,27.953
Boulevard Louis II,4229536,9416148858,1720683731,27.254
Boulevard Louis II,4229536,1720683731,6485591919,39.387
Avenue de l'Hermitage,4229537,25239325,11146701121,7.546
Avenue de l'Hermitage,4229537,11146701121,25239329,50.984
Avenue de l'Hermitage,4229537,25239329,25239336,5.118
Avenue de l'Hermitage,4229537,25239336,25239337,8.171
Avenue de l'Hermitage,4229537,25239337,25239340,11.726
Avenue de l'Hermitage,4229537,25239340,7271008819,57.645
Avenue de l'Hermitage,4229537,7271008819,11146701148,8.698
Avenue de l'Hermitage,4229537,11146701148,25239343,6.673
Avenue Henri Dunant,4229539,25239346,11146701111,5.581
Avenue Henri Dunant,4229539,11146701111,1079750509,4.235
Avenue Henri Dunant,4229539,1079750509,1110560531,73.358
Avenue Henri Dunant,4229539,1110560531,25239325,5.08
Impasse de la Fontaine,4229577,21912099,11146701061,4.683
Impasse de la Fontaine,4229577,11146701061,25239385,4.543
Impasse de la Fontaine,4229577,25239385,11146701070,0.978
Impasse de la Fontaine,4229577,11146701070,11146701063,12.652
Impasse de la Fontaine,4229577,11146701063,25239389,3.077
Place du Casino,4229658,21913117,9416149019,2.97
Place du Casino,4229658,9416149019,9416149021,1.701
Place du Casino,4229658,9416149021,1204288436,1.704
